obra,obraId,codigoEvweb,descripcion,param1,param2
FEDERACION PATRONAL ART,228,5114,Arteriografia renal,13715,90
FEDERACION PATRONAL ART,228,6174,Panarteriografia cerebral,14469,92
FEDERACION PATRONAL ART,228,5115,Artrocentesis,13716,89
FEDERACION PATRONAL ART,228,5116,Artrodesis cervical,13717,95
FEDERACION PATRONAL ART,228,5117,Artrodesis de cadera,13718,93
FEDERACION PATRONAL ART,228,5118,Artrodesis de hasta tres dedos,13719,91
FEDERACION PATRONAL ART,228,5119,Artrodesis de hombro,13720,92
FEDERACION PATRONAL ART,228,5120,Artrodesis de mas de 3 dedos en miembro inferior,13721,92
FEDERACION PATRONAL ART,228,5121,Artrodesis de mas de tres dedos,13722,92
FEDERACION PATRONAL ART,228,5122,Artrodesis de menos de 3 dedos,13723,91
FEDERACION PATRONAL ART,228,5123,Artrodesis de menos de 3 dedos en miembro inferior,13724,91
FEDERACION PATRONAL ART,228,5124,Artrodesis de muñeca / tarso / hombro / codo,13725,92
FEDERACION PATRONAL ART,228,5125,Artrodesis de pie y tibioastragalina,13726,92
FEDERACION PATRONAL ART,228,5126,Artrodesis de rodilla,13727,92
FEDERACION PATRONAL ART,228,5127,Artrodesis dinamica de columna (colocacion de espaciadores),13728,95
FEDERACION PATRONAL ART,228,5128,Artrodesis instrumentada de columna cervical,13729,95
FEDERACION PATRONAL ART,228,5129,Artrodesis instrumentada de columna dorso-lumbar (tipo Harrington y similares),13730,95
FEDERACION PATRONAL ART,228,5130,Artrodesis tibio-peronea-astragalina o medio tarsiana de Chopart,13731,93
FEDERACION PATRONAL ART,228,7500,Artrodesis dorsal lumbar o sacra,15485,95
FEDERACION PATRONAL ART,228,5131,Artrolisis,13733,90
FEDERACION PATRONAL ART,228,5136,Artrotomia / artrolisis / exploracion intra-articular,13738,91
FEDERACION PATRONAL ART,228,5132,Artroplastia (no de cadera),13734,93
FEDERACION PATRONAL ART,228,5133,Artroplastia de cadera,13735,94
FEDERACION PATRONAL ART,228,5134,Artroplastia de hombro,13736,93
FEDERACION PATRONAL ART,228,5135,Artroplastia de un dedo,13737,91
FEDERACION PATRONAL ART,228,5821,Hemi-artroplastia de cadera,14219,93
FEDERACION PATRONAL ART,228,6337,Reemplazo parcial de cadera / hemi-artroplastia,14581,93
FEDERACION PATRONAL ART,228,6581,Trasplante oseo con artroplastias primarias,14749,95
FEDERACION PATRONAL ART,228,6583,Trasplante oseo en revision de artroplastias,14751,98
FEDERACION PATRONAL ART,228,5137,"Aspiracion, lavado e implante de vitreo",13739,92
FEDERACION PATRONAL ART,228,5139,Atresia ano-rectal en pediatria / malformaciones congenitas anorectales,13740,95
FEDERACION PATRONAL ART,228,5140,Atresia de coanas por via palatina,13741,94
FEDERACION PATRONAL ART,228,5141,Atresia de esofago por video-toracoscopia,13742,98
FEDERACION PATRONAL ART,228,5991,Malformaciones congenitas de esofago (atresia de esofago / fistula traqueo-esofagica),14353,95
FEDERACION PATRONAL ART,228,5142,Auriculotomia,14872,95
FEDERACION PATRONAL ART,228,5144,Bermellectomia,14874,90
FEDERACION PATRONAL ART,228,5182,Biopsia y/o cauterizacion de cuello uterino,69297,89
FEDERACION PATRONAL ART,228,5145,"Biopsia (peritoneo, epiplon, etc)",13745,91
FEDERACION PATRONAL ART,228,5146,Biopsia costal,13746,89
FEDERACION PATRONAL ART,228,5147,Biopsia de Daniels del hueco supraclavicular,13747,91
FEDERACION PATRONAL ART,228,5148,Biopsia de encia,13748,90
FEDERACION PATRONAL ART,228,5149,Biopsia de endocardio / miocardio en hemodinamia,13749,93
FEDERACION PATRONAL ART,228,5150,Biopsia de epididimo,13750,90
FEDERACION PATRONAL ART,228,5151,Biopsia de faringe y/o amigdala,13751,90
FEDERACION PATRONAL ART,228,5153,Biopsia de ganglios linfaticos de la pared toracica,13752,90
FEDERACION PATRONAL ART,228,5154,Biopsia de glandula salival,13753,90
FEDERACION PATRONAL ART,228,5155,Biopsia de higado a cielo abierto o laparoscopica,13754,91
FEDERACION PATRONAL ART,228,5156,Biopsia de higado laparoscopica,13755,91
FEDERACION PATRONAL ART,228,5157,Biopsia de laringe,13756,91
FEDERACION PATRONAL ART,228,5158,Biopsia de lesion nasofaringea,13757,90
FEDERACION PATRONAL ART,228,5159,Biopsia de mama unilateral,13758,90
FEDERACION PATRONAL ART,228,5160,Biopsia de pancreas a cielo abierto,13759,92
FEDERACION PATRONAL ART,228,5161,Biopsia de pene,13760,89
FEDERACION PATRONAL ART,228,5162,Biopsia de pericardio,13761,92
FEDERACION PATRONAL ART,228,5165,Biopsia de testiculo,13762,90
FEDERACION PATRONAL ART,228,5166,Biopsia de vagina,13763,89
FEDERACION PATRONAL ART,228,5167,Biopsia de vejiga,13764,90
FEDERACION PATRONAL ART,228,5168,Biopsia de vertebra,13765,91
FEDERACION PATRONAL ART,228,5169,Biopsia de vulva,13766,89
FEDERACION PATRONAL ART,228,5170,Biopsia del paladar,13767,90
FEDERACION PATRONAL ART,228,5171,Biopsia muscular,13768,90
FEDERACION PATRONAL ART,228,5173,Biopsia o sutura de la boca o mejilla,13769,90
FEDERACION PATRONAL ART,228,5175,Biopsia prostatica por puncion,13770,89
